id,ground_truth,predicted,rouge-1,rouge-2,rouge-l
47sample_data,"After a long, very public proceeding Hulk Hogan and former wife Linda Bollea finally finalized their divorce and reached an undisclosed settlement on Monday evening.","Hogan Marriage Over: Linda gets the 'best' settlement, the Hulk still loves Linda | Newly Given Single Jessica Simpson Diamond Ring | Pop Tarts Sean & Hurd Hogan Marriage Over: Linda Gets 'Best' Colonial, Hulk Still Loves Linda After a long, public hearing, Hulk Hogan and ex-wife Linda Bolia finalized their Witch Orce and reached an undisclosed settlement on Monday evening. Although the rules were not made public, the couple's net worth was believed to be $ 26 million and $ 32 million (as recorded in court) in 2008, and Mrs Bolia walked away with enough money.  ""Linda got the best settlement result and I think both parties have compromised. But Linda is very happy with the deal,"" his lawyer, Ray Rafool, told Torts. ""It was bittersweet and it was also a relief. And as Linda said, there is a layer of silver in every gray cloud, so I think for both of them, they were too light to be on the same page and they were too light to put this chapter of their lives behind them.  ""The Hulk originally came to Linda and said let's try to put this whole case aside and let it be resolved. Basically with this peace offering, the Hulk came to us and we gladly accepted,"" Ruffool added.  ""Hulk is looking forward to going on with his life and is very confident that he and Linda can maintain a friendship and work together as a parent to their two children,"" Hogan's representative told Torts. ",0.1904761882590073,0.0923076906319527,0.11105718240470791
29sample_data,"THE FOXY FIFTIES Not since the golden days of Studio 54 have Manhattan's West 50s been so hot. Formerly a nightlife desert, the area now has trendy restaurants, bars and, at the epicenter of it all, the star-studded Hudson Hotel. But the Hudson will soon have a neighborhood rival. In March, the owners of SoHo's Mercer Hotel are opening the ultra-hip Chambers Hotel on W. 56th St. between Fifth and Sixth Aves. The swanky Chambers","And the restaurant, formerly owned by chef Geoffrey Zakarian (formerly of Patroon and 44), is called Town. ""We wanted to do a recession-proof fashion for readers so they could get a better look at every new trend and price,"" said chief editor Bonnie Fuller. The women who knew him were actually ""very stylish, very gentle and sophisticated."" They are all different sizes, and Faircloth plans to take that into account when he draws the line. ""I'm a family of two guys owning a Mercedes estate and still feeling sexy about it."" If you can't afford a new Mercedes, borrow your parents' wagon. The event is scheduled for Saturday, February 10 at The Tent at Bryant Park and is sure to draw a regular lineup of rap stars, athletes and top models.  Combe's runway debut was a highlight of the February 2000 shows: male models down the runway in red fur coats, leather trousers and $ 6 million worth of Fred Leighton diamond jewelry. ",0.09326424438132587,0.0,0.07531018631503988
2sample_data,The battle between Pfizer Inc.'s investors and its board illustrates an imbalance of power between company owners and managers that is prevalent today.,"If outside executive pay becomes a source of outrage for American shareholders, the competition between Pfizer Inc.'s investors and its board this week will prove to be the strongest of the year.  On the one hand, Pfizer's chief executive and president, Hank McKinnell, received a $ 65 million salary after taking a top job at the company in January 2001, and was a beneficiary of the $ 83 million pension when he retired.  ""Management has to fight these unlimited resources, and the shareholders are pretty powerless,"" said John C. Wang, founder of the Vanguard Group. Shareholders should not tolerate it. ”Corporate shareholders who vote shares on behalf of their individual investors should act in the interests of shareholders, and said that the firms in question are careful to avoid conflicts in proxy votes.  ""We have a duty to shareholders to delineate and communicate the board's position, and I think the company intends to do that,"" said Stanley O, president emeritus of the University of Illinois and board member of Pfizer. “Hank McKinnell’s compensation is down sharply to the current year, but in the context of a year and many years and a pension, the board has reviewed those issues, discussed them extensively and supported the decisions taken. ",0.14723926146862887,0.061946900826611376,0.07961102666809855
0sample_data,A surge in discriminatory behavior toward blacks by fans and other players threatens to embarrass soccer.," Players and anthracism experts have said that aggressive behavior is expected, including monkey-like chants during the tournament; The singing of irony; Hanging banners that reflect neo-fascist and racist beliefs; And maybe throwing bananas or banana peels, all familiar events in matches in Spain, Italy, East Germany and Eastern Europe. Very often new to the prosecution the burden of Kavadis. ""Yet experts and players playing in Europe's domestic leagues taking a different treatment was more ethnic nirbandhitavagalide the World Cup, he believes, because of the greater security from the crowd, international makeup, meaning higher ticket prices and a great stage to the audience in general Soccer behave well February.  ""Racism is a hallmark of many football leagues, both inside and outside Europe,"" Watcher said, adding that he expects more problems outside of stadiums that are less crowded. The World Cup does not stop there. ”Watcher and other experts have said that the possibility of militant groups holding spectators and visitors in open areas near train stations, bars, restaurants and stadiums is particularly alarming.  Attacks on the Ethiopian-based engineer in the eastern German city of Potsdam, and Turkish-based state legislators in East Berlin, along with government reports of an increase in right-wing violence, spiteful hate crimes and other intolerant behavior undermine the World Cup, whose recipient is the motto of the time. ""But I think racism is more direct in Germany."" According to experts, racism in soccer matches are mainly performed by men and promoted by a number of factors: alcohol; The perceived “against us” threat to multiculturalism in society, which was once again racially homogeneous; The harsh economic transition of Eastern European countries after the fall of the Berlin Wall; And crude attempts to unveil opposing players during bitter times. ",0.07339449405268918,0.0067567557946038624,0.034853557337671315
32sample_data,"CONCERTS CELEBRATE NEW ORLEANS. Rumsey Playfield, Central Park, 72nd St. and Fifth Ave. (212-360-2777). With Kermit Ruffins & the Barbecue Swingers, Donald Harrison & New Mardi Gras Sound, Rebirth Brass Band, Lady Buckjumpers Social Aid & Pleasure Club. Tomorrow at 3; free. DON RICKLES. North Fork Theatre at Westbury, 960 Brush Hollow Road, Westbury, L.I. (631-888-9000). Tomorrow at 8; $51.50. GIANT STEP 15TH ANNIVERSARY. Rumsey Playfield, Central Park, 72nd St. and Fifth Ave. (212-360-2777). With Femi Kuti, Brazilian","Big Bad Voodoo Daddy at 8 and 10:30 pm tonight; $ 25. At 7:30 pm tonight Mark Peskanov, Ramon Ramakrishnan and Steven Beck will play Beethoven and Schubert. Tonight — tomorrow at 8 and tomorrow at 2, the American Ballet Theater will perform “Giselle”; $ 22- $ 160. The piano-pop group The Lost Tricks will perform tomorrow at 8, before showing the films to 8; Free. Tonight at 8pm, tomorrow at 8pm and 10:30 pm; $ 27.50. 7:30 pm tonight and tomorrow; $ 15. ",0.08333332834583364,0.0,0.08291976840324627
6sample_data,"By JOHN MARZULLI DAILY NEWS POLICE BUREAU CHIEF With Police Commissioner Bernard Kerik cracking the whip, the NYPD is suddenly responding to crime faster than it has in several years. Just four months ago, the average citywide response time to calls of a ""crime in progress""was slower than it had been at any point during Mayor Giuliani's two terms in office. But since then, according to police documents obtained by the Daily News, the"," * The city's smallest province, Harlem, has a 28-and-a-half-mile range, taking an average of 8.4 minutes to respond to an ongoing crime; The largest, the 122nd on Staten Island (29 square miles), arrived in 13.6 minutes.  Response times to minutes in progress (in minutes): 1st: Tribeca, Wall St. 11.4 13.4 6th: Greenwich Village 7.3 6.9 7th: Lower East Side 6.5 7.0 9th: Alphabet City 7.2 7.9 13th: Gramercy Park 10.8 9.4 19: Upper East Side 10.7 11.3 20th: Upper West Side 9.0 8.8 23rd: East Harlem 7.3 8.0 24th: Upper West Side 8.3 8.0 25th: East Harlem 8.8 8.5 26: Morningside Hechts. 9.2 7.5 40th: Mott Haven 10.6 10.4 41st: South Bronx 9.4 8.2 44th: Morris Heights 13.5 11.3 46th: University Hts. 12.8 11.4 52nd: Bedford Park 13.6 11.8 60th: Coney Island 10.2 9.3 61st: Brighton Beach 14.0 11.3 63th: Flatlands / Mill Basin 11.4 9.9 66th: Borough Park 12.7 11.2 67th: East Flatbush 12.4 10.6 68th: Bay Ridge 10.0 8.8 72nd: Sunset Park 11.4 10.4 76th: Carroll Gardens 9.7 8.1 78th: Park Slope 9.4 9.1 75th: East New York 21.3 15.8 77th: Crown Heights 14.2 12.4 79th: Bed Stuy 13.1 10.9 81st: Bed Stuy 11.1 11.6 84th: Brooklyn Hechts. 10.1 9.3 88th: Fourth Green 10.6 9.6 101st: Far Rockaway 8.4 7.6 102nd: Richmond Hill 13.9 12.0 105th: Queen's Village 11.5 10.5 106th: Ozone Park 14.0 12.9 107th: Fresh Pasture 12.5 11.7 113th: Springfield GDNS. 11.1 10.8 108th: Long Island City 13.1 11.7 112th: Forest Hills 10.1 10.4 115th: Jackson Hechts. ",0.06363635951074406,0.0,0.04203264211888174
17sample_data,"OUR GAME By John le Carre (Knopf. $24) ONE OF THESE YEARS, John le Carre will write a novel that falls short of his admirers' expectations, but 1995 is not the year. ""Our Game""continues the remarkable record of high-tension excellence that began with ""The Spy Who Came in From the Cold.""At its simplest, this new (and 15th overall) novel is a mystery. A devious and delicious mystery. A man is missing,","This woman is the wild and beautiful mistress of former British intelligence officer Tim Cranmer, who retired to her inherited wine estate after the Cold War. Cranmer and Pettifer are antagonists in temperament and tastes, but the two are in touch, and in fact, Cranmer was the one who organized Pettifer's professorship in Bath.  Cranmer is an interesting character who is as spiritually burned as any character Graham Green has ever created and is a traditional intellectual who can play everything in life safely.  ""Our Game"" is about betrayal and the hatred of blood, the salvage of ruined possibilities and the importance of dreams, even if unrealistic and unattainable. ",0.1159420240905274,0.022727267985538178,0.11136024558290546
14sample_data,"Advertise in The Daily Telegraph; product information and key facts for 
  advertisers.","Published: 2:27 PM GMT 26 November 2009 Information and important facts about The Daily Telegraph.  On Saturday, the multi-sectional Daily Telegraph included the following: The award-winning Telegraph Magazine was included with The Daily Telegraph on Saturday.  Big names and contributors are Simon Heffer, Boris Johnson, Jeff Randall, Brian Moore, James Cracknell, Benedict Brogan and Andrew Pierce.  The Daily Telegraph delivers more ad impact than any compact - not only because it has bigger pages than compacts, but because readers spend more time with each page than any other page. ",0.09756097311124336,0.021052629531302137,0.05852730268483247
3sample_data,"If Simon Rex looks a little familiar, it may not have anything to do with his gig as an MTV veejay or his ads for Levi's and Tommy Hilfiger. It could be because Rex did a little film work once upon a time three skin flicks to be precise! In case you missed his work, Rex' oeuvre includes titles like ""Young, Hard & Solo II,""its poignant sequel, ""Young, Hard & Solo III,""","If Benja and Michael Levitz seem to be a little familiar with Simon Rex, their gig as MTV Veejay has nothing to do with Lewis and Tommy Hilfiger's ads. It could be because Rex worked a little film to make three film flicks accurate at a time! In case you missed his work, Rex's ""Young, Hard & Solo II"", whose poignant sequel includes titles such as ""Young, Hard & Solo III,"" and ""Hot Sessions III,"" in this column's opinion, near the first two ""Hot Sessions"" Coming from nowhere.  Brad Posey, Rex or Sebasti ಹೊಂದಿರುವn, who owns the All-Mel Photo and Video Studio Club 1821 as men 18 to 21 who made videos, was ""as sweet as he was and was as good as any 19"" - his age was at his peak.  ""It's going to lose me the gigs, but it'll also give me the gigs,"" Marcus Britton said of Brewster's Wednesday night affairs at 40 under par. ""And, forget about backstage antics. You can never be sure what they do on stage."" In addition, some expect Snoop Doggie Dog and Death Row Records CEO Suge Knight to be part of their entourage as it will be Tupac's first live TV show since his imprisonment and some expect his record label to be a major tribute show.  Sources tell us that the GOP front-runner was so angry about the whole situation involving Maseng and his widespread response that he decided not to use Maseng's speech at the annual meeting of the National Governors Association this week. ",0.30894308574261353,0.13333332998417746,0.18377664469017216
33sample_data,"DON IMUS of WFAN (660 AM) yesterday strongly defended his decision to have ex-News reporter Mike McGovern cover a murder trial at which Imus' wife, Deirdre Coleman, is an alternate juror. In the process, he showed why he has a nationally syndicated radio show and people like you and me don't. The reason he hired McGovern to give daily updates on the Imus show, he said yesterday, is that tracking the case would","Wednesday, September 11, 1996, 2:01 AM Former News reporter Mike McGovern strongly defended his decision to cover the murder trial of WFAN's Dan Imus (660 AM) yesterday, in which Imus's wife, Deirdre Coleman, is an alternate judge.  In the process, he showed why he has a nationally syndicated radio program and people like you and me don't.  Because he hired McGovern to provide daily updates on the Imus program, he said yesterday, the discovery of the case would be ""educational"", a kind of new term for ""good radio material.""  But during Monday's hiatus, Coleman told Judge Harold Rothwax that the Imus trial and all involved, she felt uncomfortable and wasn't sure she could remain impartial.  In fact, he had earned his money's worth even before running the case behind one of his regular guests, Father Tom Hartman, who said the judge had raised an excellent question. The WFDU (89.1 FM), which carries 43 hours of country and bluegrass per week, paid tribute yesterday, mainly to the late Bill Monroe, as did the WFU. ",0.48484848050964197,0.3265306080946273,0.36028928336564886
